Day;CountryISO;City;Article;Amount
09/02/2010;ZAF;Pretoria;4;2450.0
08/07/2010;ZAF;Pretoria;2;250.0
10/07/2010;ZAF;Pretoria;2;250.0
02/10/2010;ZAF;Pretoria;2;250.0
05/02/2010;ZAF;Pretoria;2;250.0
04/04/2005;FRA;Paris;2;250.0
11/05/2005;FRA;Paris;3;1450.0
07/12/2005;FRA;Paris;4;2450.0
07/10/2005;FRA;Paris;5;4950.0
03/08/2005;FRA;Paris;1;6850.0
03/04/2005;FRA;Paris;2;250.0
10/15/2005;FRA;Paris;3;1450.0
04/10/2005;FRA;Paris;2;250.0
03/15/2005;FRA;Paris;2;250.0
12/02/2005;FRA;Paris;2;250.0
08/08/2005;FRA;Paris;2;250.0
06/08/2006;FRA;Paris;2;250.0
07/14/2006;FRA;Paris;3;1450.0
02/13/2006;FRA;Paris;4;2450.0
01/12/2006;FRA;Paris;5;4950.0
10/03/2006;FRA;Paris;1;6850.0
06/10/2006;FRA;Paris;2;250.0
05/03/2006;FRA;Paris;3;1450.0
11/03/2006;FRA;Paris;2;250.0
01/03/2006;FRA;Paris;3;1450.0
10/02/2006;FRA;Paris;2;250.0
05/05/2007;FRA;Paris;2;250.0
11/08/2007;FRA;Paris;3;1450.0
03/02/2007;FRA;Paris;4;2450.0
03/04/2007;FRA;Paris;5;4950.0
10/02/2007;FRA;Paris;1;6850.0
02/13/2007;FRA;Paris;2;250.0
11/09/2007;FRA;Paris;3;1450.0
11/09/2007;FRA;Paris;4;2450.0
07/13/2007;FRA;Paris;2;250.0
02/10/2007;FRA;Paris;2;250.0
06/01/2008;FRA;Paris;2;250.0
05/11/2008;FRA;Paris;3;1450.0
05/03/2008;FRA;Paris;4;2450.0
04/04/2008;FRA;Paris;5;4950.0
07/07/2008;FRA;Paris;1;6850.0
02/06/2008;FRA;Paris;2;250.0
09/08/2008;FRA;Paris;3;1450.0
09/01/2008;FRA;Paris;4;2450.0
11/13/2008;FRA;Paris;2;250.0
02/08/2008;FRA;Paris;2;250.0
06/09/2008;FRA;Paris;2;250.0
11/14/2008;FRA;Paris;2;250.0
03/06/2009;FRA;Paris;2;250.0
06/07/2009;FRA;Paris;3;1450.0
06/08/2009;FRA;Paris;4;2450.0
02/02/2009;FRA;Paris;5;4950.0
11/13/2009;FRA;Paris;1;6850.0
02/05/2009;FRA;Paris;2;250.0
03/09/2009;FRA;Paris;3;1450.0
05/06/2009;FRA;Paris;4;2450.0
03/07/2009;FRA;Paris;2;250.0
02/12/2009;FRA;Paris;2;250.0
10/02/2009;FRA;Paris;2;250.0
09/05/2010;FRA;Paris;2;250.0
04/08/2010;FRA;Paris;3;1450.0
09/10/2010;FRA;Paris;4;2450.0
02/08/2010;FRA;Paris;5;4950.0
01/12/2010;FRA;Paris;1;6850.0
01/11/2010;FRA;Paris;2;250.0
02/10/2010;FRA;Paris;3;1450.0
07/03/2010;FRA;Paris;4;2450.0
01/15/2010;FRA;Paris;2;250.0
07/03/2010;FRA;Paris;2;250.0
08/09/2010;FRA;Paris;2;250.0
04/15/2010;FRA;Paris;2;250.0
04/12/2010;FRA;Paris;2;250.0
02/05/2005;KOR;Seoul;2;250.0
10/04/2005;KOR;Seoul;3;1450.0
05/08/2005;KOR;Seoul;4;2450.0
04/12/2005;KOR;Seoul;5;4950.0
01/15/2005;KOR;Seoul;2;250.0
03/11/2005;KOR;Seoul;3;1450.0
02/04/2006;KOR;Seoul;2;250.0
11/01/2006;KOR;Seoul;3;1450.0
12/01/2006;KOR;Seoul;4;2450.0
11/08/2006;KOR;Seoul;5;4950.0
02/06/2006;KOR;Seoul;2;250.0
08/13/2006;KOR;Seoul;3;1450.0
07/06/2006;KOR;Seoul;2;250.0
02/14/2006;KOR;Seoul;2;250.0
12/08/2006;KOR;Seoul;2;250.0
05/15/2006;KOR;Seoul;2;250.0
08/03/2007;KOR;Seoul;2;250.0
08/10/2007;KOR;Seoul;3;1450.0
11/09/2007;KOR;Seoul;4;2450.0
08/08/2007;KOR;Seoul;5;4950.0
05/13/2007;KOR;Seoul;2;250.0
08/11/2007;KOR;Seoul;3;1450.0
06/03/2007;KOR;Seoul;2;250.0
03/10/2007;KOR;Seoul;3;1450.0
10/05/2007;KOR;Seoul;2;250.0
02/09/2008;KOR;Seoul;2;250.0
07/13/2008;KOR;Seoul;3;1450.0
09/12/2008;KOR;Seoul;4;2450.0
09/08/2008;KOR;Seoul;5;4950.0
08/14/2008;KOR;Seoul;2;250.0
01/08/2008;KOR;Seoul;3;1450.0
01/09/2008;KOR;Seoul;4;2450.0
10/02/2009;KOR;Seoul;2;250.0
08/15/2009;KOR;Seoul;3;1450.0
01/08/2009;KOR;Seoul;4;2450.0
06/13/2009;KOR;Seoul;5;4950.0
11/07/2009;KOR;Seoul;2;250.0
07/02/2009;KOR;Seoul;3;1450.0
02/01/2009;KOR;Seoul;4;2450.0
08/05/2009;KOR;Seoul;2;250.0
11/06/2010;KOR;Seoul;2;250.0
12/05/2010;KOR;Seoul;3;1450.0
02/02/2010;KOR;Seoul;4;2450.0
02/09/2010;KOR;Seoul;5;4950.0
07/04/2010;KOR;Seoul;2;250.0
06/11/2010;KOR;Seoul;3;1450.0
01/14/2010;KOR;Seoul;4;2450.0
12/13/2010;KOR;Seoul;2;250.0
10/11/2010;KOR;Seoul;2;250.0
12/15/2010;KOR;Seoul;2;250.0
11/01/2010;KOR;Seoul;2;250.0
12/13/2010;KOR;Seoul;2;250.0
01/06/2005;EGY;Cairo;2;250.0
10/10/2005;EGY;Cairo;3;1450.0
07/01/2005;EGY;Cairo;2;250.0
12/03/2005;EGY;Cairo;2;250.0
09/06/2005;EGY;Cairo;2;250.0
11/09/2005;EGY;Cairo;2;250.0
11/15/2005;EGY;Cairo;2;250.0
12/14/2005;EGY;Cairo;2;250.0
09/08/2006;EGY;Cairo;2;250.0
08/05/2006;EGY;Cairo;3;1450.0
07/05/2006;EGY;Cairo;2;250.0
07/04/2006;EGY;Cairo;3;1450.0
01/08/2006;EGY;Cairo;2;250.0
12/14/2007;EGY;Cairo;2;250.0
07/07/2007;EGY;Cairo;3;1450.0
10/12/2007;EGY;Cairo;2;250.0
10/05/2007;EGY;Cairo;3;1450.0
10/06/2007;EGY;Cairo;2;250.0
02/09/2007;EGY;Cairo;2;250.0
05/05/2008;EGY;Cairo;2;250.0
11/11/2008;EGY;Cairo;3;1450.0
12/12/2008;EGY;Cairo;4;2450.0
02/09/2008;EGY;Cairo;2;250.0
09/04/2009;EGY;Cairo;2;250.0
11/08/2009;EGY;Cairo;3;1450.0
11/08/2009;EGY;Cairo;4;2450.0
09/06/2009;EGY;Cairo;2;250.0
06/10/2009;EGY;Cairo;2;250.0
07/02/2010;EGY;Cairo;2;250.0
12/12/2010;EGY;Cairo;3;1450.0
04/03/2010;EGY;Cairo;4;2450.0
12/10/2010;EGY;Cairo;2;250.0
02/03/2010;EGY;Cairo;2;250.0
09/09/2010;EGY;Cairo;2;250.0
11/01/2005;GBR;London;2;250.0
10/15/2005;GBR;London;3;1450.0
01/08/2005;GBR;London;4;2450.0
08/13/2005;GBR;London;5;4950.0
08/07/2005;GBR;London;1;6850.0
12/06/2005;GBR;London;2;250.0
06/01/2005;GBR;London;3;1450.0
02/13/2005;GBR;London;2;250.0
12/02/2005;GBR;London;2;250.0
10/02/2005;GBR;London;2;250.0
08/01/2005;GBR;London;2;250.0
08/06/2005;GBR;London;2;250.0
06/09/2005;GBR;London;2;250.0
03/09/2006;GBR;London;2;250.0
05/12/2006;GBR;London;3;1450.0
04/10/2006;GBR;London;4;2450.0
04/01/2006;GBR;London;5;4950.0
01/14/2006;GBR;London;1;6850.0
05/08/2006;GBR;London;2;250.0
08/13/2006;GBR;London;3;1450.0
12/13/2006;GBR;London;4;2450.0
05/13/2006;GBR;London;2;250.0
09/06/2007;GBR;London;2;250.0
06/01/2007;GBR;London;3;1450.0
08/11/2007;GBR;London;4;2450.0
08/11/2007;GBR;London;5;4950.0
03/04/2007;GBR;London;1;6850.0
08/04/2007;GBR;London;2;250.0
11/02/2007;GBR;London;3;1450.0
02/09/2007;GBR;London;4;2450.0
04/05/2007;GBR;London;2;250.0
06/08/2007;GBR;London;2;250.0
10/08/2007;GBR;London;2;250.0
03/14/2007;GBR;London;2;250.0
03/03/2007;GBR;London;2;250.0
12/10/2007;GBR;London;2;250.0
09/09/2008;GBR;London;2;250.0
05/13/2008;GBR;London;3;1450.0
06/07/2008;GBR;London;4;2450.0
12/02/2008;GBR;London;5;4950.0
06/04/2008;GBR;London;1;6850.0
06/10/2008;GBR;London;2;250.0
11/13/2008;GBR;London;3;1450.0
07/02/2008;GBR;London;4;2450.0
08/07/2008;GBR;London;2;250.0
04/06/2008;GBR;London;3;1450.0
10/07/2008;GBR;London;2;250.0
01/08/2009;GBR;London;2;250.0
11/07/2009;GBR;London;3;1450.0
03/06/2009;GBR;London;4;2450.0
11/09/2009;GBR;London;5;4950.0
10/13/2009;GBR;London;1;6850.0
07/14/2009;GBR;London;2;250.0
12/06/2009;GBR;London;3;1450.0
09/09/2009;GBR;London;4;2450.0
09/09/2009;GBR;London;2;250.0
11/04/2009;GBR;London;2;250.0
08/13/2009;GBR;London;2;250.0
01/10/2009;GBR;London;2;250.0
09/04/2010;GBR;London;2;250.0
11/02/2010;GBR;London;3;1450.0
12/13/2010;GBR;London;4;2450.0
11/06/2010;GBR;London;5;4950.0
02/02/2010;GBR;London;1;6850.0
01/11/2010;GBR;London;2;250.0
02/08/2010;GBR;London;3;1450.0
08/04/2010;GBR;London;4;2450.0
10/01/2010;GBR;London;2;250.0
02/07/2010;GBR;London;2;250.0
03/11/2010;GBR;London;2;250.0
02/03/2010;GBR;London;2;250.0
01/01/2010;GBR;London;2;250.0
06/15/2010;GBR;London;2;250.0
06/09/2005;TWN;Taipei;2;250.0
05/11/2005;TWN;Taipei;3;1450.0
07/07/2005;TWN;Taipei;4;2450.0
11/01/2005;TWN;Taipei;2;250.0
07/06/2005;TWN;Taipei;3;1450.0
12/04/2006;TWN;Taipei;2;250.0
12/15/2006;TWN;Taipei;3;1450.0
08/01/2006;TWN;Taipei;4;2450.0
03/14/2006;TWN;Taipei;2;250.0
06/11/2006;TWN;Taipei;3;1450.0
03/02/2006;TWN;Taipei;2;250.0
05/14/2006;TWN;Taipei;2;250.0
09/12/2006;TWN;Taipei;2;250.0
12/13/2007;TWN;Taipei;2;250.0
06/14/2007;TWN;Taipei;3;1450.0
03/04/2007;TWN;Taipei;4;2450.0
04/05/2007;TWN;Taipei;2;250.0
03/05/2007;TWN;Taipei;3;1450.0
05/05/2007;TWN;Taipei;2;250.0
09/14/2007;TWN;Taipei;2;250.0
09/11/2007;TWN;Taipei;2;250.0
05/15/2007;TWN;Taipei;2;250.0
09/10/2007;TWN;Taipei;2;250.0
02/11/2008;TWN;Taipei;2;250.0
11/07/2008;TWN;Taipei;3;1450.0
04/07/2008;TWN;Taipei;4;2450.0
12/01/2008;TWN;Taipei;2;250.0
02/07/2008;TWN;Taipei;3;1450.0
04/01/2008;TWN;Taipei;2;250.0
10/12/2008;TWN;Taipei;2;250.0
04/08/2008;TWN;Taipei;2;250.0
09/02/2008;TWN;Taipei;2;250.0
10/14/2008;TWN;Taipei;2;250.0
01/14/2008;TWN;Taipei;2;250.0
12/01/2009;TWN;Taipei;2;250.0
08/05/2009;TWN;Taipei;3;1450.0
07/10/2009;TWN;Taipei;4;2450.0
08/01/2009;TWN;Taipei;2;250.0
04/10/2009;TWN;Taipei;3;1450.0
09/10/2009;TWN;Taipei;2;250.0
07/11/2009;TWN;Taipei;2;250.0
12/08/2009;TWN;Taipei;2;250.0
03/01/2009;TWN;Taipei;2;250.0
06/12/2009;TWN;Taipei;2;250.0
11/12/2010;TWN;Taipei;2;250.0
08/02/2010;TWN;Taipei;3;1450.0
04/04/2010;TWN;Taipei;4;2450.0
12/07/2010;TWN;Taipei;2;250.0
02/15/2010;TWN;Taipei;3;1450.0
10/11/2010;TWN;Taipei;2;250.0
08/09/2010;TWN;Taipei;3;1450.0
01/01/2010;TWN;Taipei;2;250.0
01/12/2010;TWN;Taipei;2;250.0
04/12/2005;THA;Bangkok;2;250.0
05/01/2005;THA;Bangkok;3;1450.0
08/10/2005;THA;Bangkok;4;2450.0
04/10/2005;THA;Bangkok;2;250.0
05/08/2006;THA;Bangkok;2;250.0
12/05/2006;THA;Bangkok;3;1450.0
04/04/2006;THA;Bangkok;4;2450.0
04/06/2006;THA;Bangkok;2;250.0
08/14/2006;THA;Bangkok;2;250.0
12/01/2007;THA;Bangkok;2;250.0
11/04/2007;THA;Bangkok;3;1450.0
01/11/2007;THA;Bangkok;4;2450.0
01/01/2007;THA;Bangkok;2;250.0
11/01/2007;THA;Bangkok;2;250.0
08/05/2007;THA;Bangkok;2;250.0
11/06/2007;THA;Bangkok;2;250.0
04/12/2008;THA;Bangkok;2;250.0
05/01/2008;THA;Bangkok;3;1450.0
05/04/2008;THA;Bangkok;4;2450.0
11/02/2008;THA;Bangkok;2;250.0
12/12/2008;THA;Bangkok;2;250.0
01/13/2008;THA;Bangkok;2;250.0
05/04/2008;THA;Bangkok;2;250.0
03/12/2008;THA;Bangkok;2;250.0
05/03/2009;THA;Bangkok;2;250.0
06/05/2009;THA;Bangkok;3;1450.0
08/04/2009;THA;Bangkok;4;2450.0
11/10/2009;THA;Bangkok;2;250.0
04/10/2009;THA;Bangkok;2;250.0
06/14/2009;THA;Bangkok;2;250.0
11/06/2009;THA;Bangkok;2;250.0
05/09/2010;THA;Bangkok;2;250.0
09/08/2010;THA;Bangkok;3;1450.0
10/09/2010;THA;Bangkok;4;2450.0
01/03/2010;THA;Bangkok;2;250.0
01/02/2010;THA;Bangkok;3;1450.0
01/15/2005;DEU;Berlin;2;250.0
04/02/2005;DEU;Berlin;3;1450.0
10/13/2005;DEU;Berlin;4;2450.0
01/09/2005;DEU;Berlin;5;4950.0
04/03/2005;DEU;Berlin;1;6850.0
05/12/2005;DEU;Berlin;2;250.0
11/01/2005;DEU;Berlin;3;1450.0
03/13/2005;DEU;Berlin;4;2450.0
01/04/2005;DEU;Berlin;5;4950.0
08/08/2006;DEU;Berlin;2;250.0
07/01/2006;DEU;Berlin;3;1450.0
07/03/2006;DEU;Berlin;4;2450.0
11/05/2006;DEU;Berlin;5;4950.0
01/15/2006;DEU;Berlin;1;6850.0
06/01/2006;DEU;Berlin;2;250.0
02/15/2006;DEU;Berlin;3;1450.0
11/13/2006;DEU;Berlin;4;2450.0
01/12/2006;DEU;Berlin;5;4950.0
08/11/2006;DEU;Berlin;2;250.0
04/15/2006;DEU;Berlin;3;1450.0
03/14/2007;DEU;Berlin;2;250.0
05/12/2007;DEU;Berlin;3;1450.0
05/04/2007;DEU;Berlin;4;2450.0
04/08/2007;DEU;Berlin;5;4950.0
06/05/2007;DEU;Berlin;1;6850.0
11/05/2007;DEU;Berlin;2;250.0
09/04/2007;DEU;Berlin;3;1450.0
12/13/2007;DEU;Berlin;4;2450.0
09/10/2007;DEU;Berlin;5;4950.0
12/14/2007;DEU;Berlin;2;250.0
02/13/2007;DEU;Berlin;3;1450.0
09/02/2007;DEU;Berlin;2;250.0
11/02/2007;DEU;Berlin;2;250.0
10/03/2007;DEU;Berlin;2;250.0
06/05/2007;DEU;Berlin;2;250.0
04/03/2007;DEU;Berlin;2;250.0
08/15/2007;DEU;Berlin;2;250.0
12/15/2008;DEU;Berlin;2;250.0
11/01/2008;DEU;Berlin;3;1450.0
01/06/2008;DEU;Berlin;4;2450.0
09/09/2008;DEU;Berlin;5;4950.0
08/01/2008;DEU;Berlin;1;6850.0
09/08/2008;DEU;Berlin;2;250.0
11/10/2008;DEU;Berlin;3;1450.0
05/07/2008;DEU;Berlin;4;2450.0
07/05/2008;DEU;Berlin;5;4950.0
01/06/2008;DEU;Berlin;2;250.0
09/05/2008;DEU;Berlin;3;1450.0
08/13/2008;DEU;Berlin;4;2450.0
11/09/2009;DEU;Berlin;2;250.0
11/03/2009;DEU;Berlin;3;1450.0
02/14/2009;DEU;Berlin;4;2450.0
04/13/2009;DEU;Berlin;5;4950.0
05/13/2009;DEU;Berlin;1;6850.0
02/10/2009;DEU;Berlin;2;250.0
03/12/2009;DEU;Berlin;3;1450.0
09/15/2009;DEU;Berlin;4;2450.0
05/06/2009;DEU;Berlin;5;4950.0
10/06/2009;DEU;Berlin;2;250.0
02/14/2009;DEU;Berlin;3;1450.0
08/10/2009;DEU;Berlin;2;250.0
08/15/2009;DEU;Berlin;2;250.0
02/08/2009;DEU;Berlin;2;250.0
11/08/2009;DEU;Berlin;2;250.0
09/13/2009;DEU;Berlin;2;250.0
04/14/2010;DEU;Berlin;2;250.0
11/12/2010;DEU;Berlin;3;1450.0
06/08/2010;DEU;Berlin;4;2450.0
03/10/2010;DEU;Berlin;5;4950.0
03/11/2010;DEU;Berlin;1;6850.0
12/09/2010;DEU;Berlin;2;250.0
12/13/2010;DEU;Berlin;3;1450.0
04/07/2010;DEU;Berlin;4;2450.0
09/12/2010;DEU;Berlin;5;4950.0
07/06/2010;DEU;Berlin;2;250.0
02/12/2010;DEU;Berlin;3;1450.0
06/08/2010;DEU;Berlin;4;2450.0
01/15/2005;SAU;Riyadh;2;250.0
04/10/2005;SAU;Riyadh;3;1450.0
11/05/2005;SAU;Riyadh;4;2450.0
11/08/2005;SAU;Riyadh;2;250.0
05/13/2005;SAU;Riyadh;2;250.0
08/04/2005;SAU;Riyadh;2;250.0
12/11/2006;SAU;Riyadh;2;250.0
01/05/2006;SAU;Riyadh;3;1450.0
02/06/2006;SAU;Riyadh;4;2450.0
07/10/2006;SAU;Riyadh;2;250.0
03/12/2006;SAU;Riyadh;2;250.0
11/14/2006;SAU;Riyadh;2;250.0
06/11/2006;SAU;Riyadh;2;250.0
01/10/2007;SAU;Riyadh;2;250.0
07/03/2007;SAU;Riyadh;3;1450.0
12/07/2007;SAU;Riyadh;4;2450.0
04/13/2007;SAU;Riyadh;2;250.0
07/11/2007;SAU;Riyadh;2;250.0
06/04/2007;SAU;Riyadh;2;250.0
05/11/2007;SAU;Riyadh;2;250.0
04/11/2007;SAU;Riyadh;2;250.0
09/07/2008;SAU;Riyadh;2;250.0
01/06/2008;SAU;Riyadh;3;1450.0
01/14/2008;SAU;Riyadh;4;2450.0
12/01/2008;SAU;Riyadh;2;250.0
07/10/2008;SAU;Riyadh;2;250.0
10/11/2008;SAU;Riyadh;2;250.0
03/03/2008;SAU;Riyadh;2;250.0
12/06/2008;SAU;Riyadh;2;250.0
08/13/2008;SAU;Riyadh;2;250.0
01/05/2009;SAU;Riyadh;2;250.0
03/11/2009;SAU;Riyadh;3;1450.0
07/08/2009;SAU;Riyadh;4;2450.0
10/02/2009;SAU;Riyadh;2;250.0
04/01/2009;SAU;Riyadh;3;1450.0
03/01/2010;SAU;Riyadh;2;250.0
02/07/2010;SAU;Riyadh;3;1450.0
02/10/2010;SAU;Riyadh;4;2450.0
10/12/2010;SAU;Riyadh;2;250.0
06/03/2010;SAU;Riyadh;3;1450.0
09/08/2010;SAU;Riyadh;2;250.0
06/12/2005;ITA;Rome;2;250.0
04/08/2005;ITA;Rome;3;1450.0
02/08/2005;ITA;Rome;4;2450.0
08/03/2005;ITA;Rome;5;4950.0
08/02/2005;ITA;Rome;1;6850.0
01/07/2005;ITA;Rome;2;250.0
08/12/2006;ITA;Rome;2;250.0
05/10/2006;ITA;Rome;3;1450.0
12/03/2006;ITA;Rome;4;2450.0
08/15/2006;ITA;Rome;5;4950.0
01/09/2006;ITA;Rome;1;6850.0
10/09/2006;ITA;Rome;2;250.0
10/02/2006;ITA;Rome;2;250.0
08/08/2006;ITA;Rome;2;250.0
05/06/2006;ITA;Rome;2;250.0
07/04/2006;ITA;Rome;2;250.0
01/14/2007;ITA;Rome;2;250.0
01/13/2007;ITA;Rome;3;1450.0
12/02/2007;ITA;Rome;4;2450.0
06/13/2007;ITA;Rome;5;4950.0
11/01/2007;ITA;Rome;1;6850.0
05/01/2007;ITA;Rome;2;250.0
07/09/2007;ITA;Rome;3;1450.0
02/07/2007;ITA;Rome;2;250.0
08/13/2008;ITA;Rome;2;250.0
01/13/2008;ITA;Rome;3;1450.0
07/02/2008;ITA;Rome;4;2450.0
01/15/2008;ITA;Rome;5;4950.0
09/12/2008;ITA;Rome;1;6850.0
02/12/2008;ITA;Rome;2;250.0
04/15/2008;ITA;Rome;3;1450.0
11/02/2008;ITA;Rome;2;250.0
11/08/2009;ITA;Rome;2;250.0
03/15/2009;ITA;Rome;3;1450.0
02/01/2009;ITA;Rome;4;2450.0
10/11/2009;ITA;Rome;5;4950.0
07/12/2009;ITA;Rome;1;6850.0
02/09/2009;ITA;Rome;2;250.0
03/10/2009;ITA;Rome;2;250.0
08/09/2009;ITA;Rome;2;250.0
07/02/2009;ITA;Rome;2;250.0
02/15/2009;ITA;Rome;2;250.0
03/12/2010;ITA;Rome;2;250.0
07/06/2010;ITA;Rome;3;1450.0
04/10/2010;ITA;Rome;4;2450.0
04/10/2010;ITA;Rome;5;4950.0
01/12/2010;ITA;Rome;1;6850.0
02/09/2010;ITA;Rome;2;250.0
12/07/2010;ITA;Rome;3;1450.0
01/14/2005;CHN;Beijing;2;250.0
07/06/2005;CHN;Beijing;3;1450.0
11/03/2005;CHN;Beijing;4;2450.0
07/05/2005;CHN;Beijing;5;4950.0
12/07/2005;CHN;Beijing;1;6850.0
05/05/2005;CHN;Beijing;2;250.0
11/14/2005;CHN;Beijing;3;1450.0
09/11/2005;CHN;Beijing;4;2450.0
12/09/2005;CHN;Beijing;5;4950.0
09/11/2005;CHN;Beijing;1;6850.0
05/04/2005;CHN;Beijing;2;250.0
07/01/2005;CHN;Beijing;3;1450.0
09/08/2005;CHN;Beijing;4;2450.0
12/09/2005;CHN;Beijing;5;4950.0
02/15/2005;CHN;Beijing;1;6850.0
01/05/2005;CHN;Beijing;2;250.0
09/12/2005;CHN;Beijing;3;1450.0
02/08/2005;CHN;Beijing;4;2450.0
12/04/2005;CHN;Beijing;2;250.0
06/12/2005;CHN;Beijing;2;250.0
10/06/2005;CHN;Beijing;2;250.0
01/10/2005;CHN;Beijing;2;250.0
10/08/2005;CHN;Beijing;2;250.0
07/12/2005;CHN;Beijing;2;250.0
07/02/2006;CHN;Beijing;2;250.0
12/15/2006;CHN;Beijing;3;1450.0
06/04/2006;CHN;Beijing;4;2450.0
09/06/2006;CHN;Beijing;5;4950.0
04/04/2006;CHN;Beijing;1;6850.0
05/10/2006;CHN;Beijing;2;250.0
06/10/2006;CHN;Beijing;3;1450.0
11/12/2006;CHN;Beijing;4;2450.0
03/10/2006;CHN;Beijing;5;4950.0
04/12/2006;CHN;Beijing;1;6850.0
10/15/2006;CHN;Beijing;2;250.0
09/08/2006;CHN;Beijing;3;1450.0
02/13/2006;CHN;Beijing;4;2450.0
08/04/2006;CHN;Beijing;5;4950.0
06/11/2006;CHN;Beijing;1;6850.0
06/02/2006;CHN;Beijing;2;250.0
05/03/2006;CHN;Beijing;3;1450.0
